<Date>,<Close>,<Target>,<DayOfWeek>,<DayOfMonth>,<IsWeekend>,<IsStartOfWeek>,<PWA>,<PMA>
2010-02-23,1079,1080,1,23,0,0,1061.86,1037.87
2010-02-24,1080,1079,2,24,0,0,1064.71,1039.50
2010-02-27,1079,1079,5,27,1,0,1067.29,1041.00
2010-02-28,1079,1070,6,28,1,0,1069.71,1042.93
2010-03-01,1070,1080,0,1,0,1,1071.00,1044.73
2010-03-02,1080,1098,1,2,0,0,1072.43,1046.27
2010-03-03,1098,1100,2,3,0,0,1076.00,1048.60
2010-03-06,1100,1118,5,6,1,0,1080.71,1051.23
2010-03-07,1118,1140,6,7,1,0,1083.71,1053.90
2010-03-08,1140,1110,0,8,0,1,1089.14,1056.90
2010-03-09,1110,1109,1,9,0,0,1097.86,1060.57
2010-03-10,1109,1100,2,10,0,0,1102.29,1063.23
2010-03-13,1100,1090,5,13,1,0,1107.86,1066.00
2010-03-14,1090,1086,6,14,1,0,1110.71,1068.33
2010-03-15,1086,1074,0,15,0,1,1109.57,1070.40
2010-03-16,1074,1100,1,16,0,0,1107.57,1072.50
2010-03-17,1100,1100,2,17,0,0,1101.29,1074.27
2010-03-27,1100,1134,5,27,1,0,1095.57,1076.60
2010-03-28,1134,1127,6,28,1,0,1094.14,1078.77
2010-03-29,1127,1126,0,29,0,1,1097.71,1082.10
2010-03-30,1126,1120,1,30,0,0,1101.57,1084.87
2010-03-31,1120,1137,2,31,0,0,1106.71,1087.40
2010-04-03,1137,1146,5,3,1,0,1111.57,1089.73
2010-04-04,1146,1137,6,4,1,0,1120.57,1092.30
2010-04-05,1137,1138,0,5,0,1,1127.14,1095.20
2010-04-06,1138,1161,1,6,0,0,1132.43,1097.70
2010-04-07,1161,1198,2,7,0,0,1133.00,1100.23
2010-04-10,1198,1238,5,10,1,0,1137.86,1103.27
2010-04-11,1238,1280,6,11,1,0,1148.14,1107.87
2010-04-12,1280,1239,0,12,0,1,1165.00,1113.97
2010-04-13,1239,1214,1,13,0,0,1185.43,1121.13
2010-04-14,1214,1214,2,14,0,0,1198.71,1126.47
2010-04-17,1214,1214,5,17,1,0,1209.71,1130.93
2010-04-18,1214,1250,6,18,1,0,1220.57,1135.43
2010-04-19,1250,1234,0,19,0,1,1228.14,1139.93
2010-04-20,1234,1200,1,20,0,0,1235.57,1145.93
2010-04-21,1200,1159,2,21,0,0,1235.00,1151.07
2010-04-24,1159,1158,5,24,1,0,1223.57,1154.47
2010-04-25,1158,1150,6,25,1,0,1212.14,1156.43
2010-04-26,1150,1190,0,26,0,1,1204.14,1157.77
2010-04-27,1190,1185,1,27,0,0,1195.00,1158.10
2010-04-28,1185,1161,2,28,0,0,1191.57,1160.77
2010-05-01,1161,1151,5,1,1,0,1182.29,1163.30
2010-05-02,1151,1168,6,2,1,0,1171.86,1165.33
2010-05-03,1168,1189,0,3,0,1,1164.86,1167.37
2010-05-04,1189,1219,1,4,0,0,1166.14,1170.10
2010-05-05,1219,1252,2,5,0,0,1170.57,1173.93
2010-05-08,1252,1282,5,8,1,0,1180.43,1177.90
2010-05-09,1282,1280,6,9,1,0,1189.29,1182.97
2010-05-10,1280,1220,0,10,0,1,1203.14,1187.90
2010-05-11,1220,1219,1,11,0,0,1220.14,1193.00
2010-05-12,1219,1277,2,12,0,0,1230.00,1196.13
2010-05-15,1277,1285,5,15,1,0,1237.29,1199.43
2010-05-16,1285,1327,6,16,1,0,1249.86,1204.10
2010-05-18,1327,1373,1,18,0,0,1259.29,1208.73
2010-05-19,1373,1390,2,19,0,0,1270.00,1215.07
2010-05-22,1390,1330,5,22,1,0,1283.00,1222.90
2010-05-23,1330,1370,6,23,1,0,1298.71,1230.53
2010-05-24,1370,1350,0,24,0,1,1314.43,1234.93
2010-05-25,1350,1309,1,25,0,0,1336.00,1239.33
2010-05-26,1309,1320,2,26,0,0,1346.43,1241.67
2010-05-29,1320,1285,5,29,1,0,1349.86,1244.00
2010-05-30,1285,1275,6,30,1,0,1348.86,1247.53
2010-05-31,1275,1300,0,31,0,1,1336.29,1249.90
2010-06-01,1300,1326,1,1,0,0,1319.86,1251.93
2010-06-02,1326,1350,2,2,0,0,1315.57,1253.60
2010-06-06,1350,1290,6,6,1,0,1309.29,1256.67
2010-06-07,1290,1270,0,7,0,1,1309.29,1261.67
2010-06-08,1270,1260,1,8,0,0,1306.57,1266.03
2010-06-09,1260,1270,2,9,0,0,1299.43,1269.77
2010-06-12,1270,1279,5,12,1,0,1295.86,1273.43
2010-06-13,1279,1291,6,13,1,0,1295.14,1276.10
2010-06-14,1291,1308,0,14,0,1,1292.14,1279.23
2010-06-15,1308,1310,1,15,0,0,1287.14,1283.57
2010-06-16,1310,1299,2,16,0,0,1281.14,1288.80
2010-06-19,1299,1290,5,19,1,0,1284.00,1293.53
2010-06-20,1290,1295,6,20,1,0,1288.14,1297.20
2010-06-21,1295,1324,0,21,0,1,1292.43,1299.57
2010-06-22,1324,1302,1,22,0,0,1296.00,1301.00
2010-06-23,1302,1300,2,23,0,0,1302.43,1302.40
2010-06-27,1300,1288,6,27,1,0,1304.00,1303.13
2010-06-28,1288,1295,0,28,0,1,1302.86,1305.80
2010-06-29,1295,1320,1,29,0,0,1299.71,1308.10
2010-06-30,1320,1317,2,30,0,0,1299.14,1308.70
2010-07-03,1317,1300,5,3,1,0,1303.43,1309.87
2010-07-04,1300,1320,6,4,1,0,1306.57,1309.53
2010-07-05,1320,1300,0,5,0,1,1303.14,1307.10
2010-07-06,1300,1317,1,6,0,0,1305.71,1304.77
2010-07-07,1317,1319,2,7,0,0,1305.71,1303.77
2010-07-11,1319,1319,6,11,1,0,1309.86,1302.00
2010-07-12,1319,1319,0,12,0,1,1313.29,1300.97
2010-07-13,1319,1318,1,13,0,0,1313.14,1301.30
2010-07-14,1318,1209,2,14,0,0,1313.43,1301.27
2010-07-20,1209,1220,1,20,0,0,1316.00,1302.37
2010-07-21,1220,1200,2,21,0,0,1300.14,1300.17
2010-07-24,1200,1200,5,24,1,0,1288.71,1297.50
2010-07-25,1200,1195,6,25,1,0,1272.00,1293.30
2010-07-26,1195,1190,0,26,0,1,1255.00,1288.30
2010-07-28,1190,1199,2,28,0,0,1237.29,1285.13
2010-07-31,1199,1200,5,31,1,0,1218.86,1282.47
2010-08-01,1200,1198,6,1,1,0,1201.86,1280.43
2010-08-02,1198,1188,0,2,0,1,1200.57,1278.10
2010-08-03,1188,1197,1,3,0,0,1197.43,1275.40
2010-08-04,1197,1201,2,4,0,0,1195.71,1271.97
2010-08-07,1201,1220,5,7,1,0,1195.29,1268.27
2010-08-08,1220,1217,6,8,1,0,1196.14,1264.63
2010-08-09,1217,1218,0,9,0,1,1200.43,1262.00
2010-08-10,1218,1245,1,10,0,0,1203.00,1259.57
2010-08-11,1245,1273,2,11,0,0,1205.57,1257.00
2010-08-14,1273,1249,5,14,1,0,1212.29,1254.37
2010-08-15,1249,1240,6,15,1,0,1224.43,1253.40
2010-08-16,1240,1244,0,16,0,1,1231.86,1251.70
2010-08-17,1244,1278,1,17,0,0,1237.43,1250.10
2010-08-18,1278,1258,2,18,0,0,1240.86,1248.40
2010-08-21,1258,1240,5,21,1,0,1249.57,1247.00
2010-08-22,1240,1260,6,22,1,0,1255.29,1245.03
2010-08-23,1260,1248,0,23,0,1,1254.57,1243.03
2010-08-24,1248,1244,1,24,0,0,1252.71,1241.03
2010-08-25,1244,1248,2,25,0,0,1252.57,1239.30
2010-08-28,1248,1281,5,28,1,0,1253.14,1236.87
2010-08-29,1281,1312,6,29,1,0,1253.71,1234.50
2010-08-30,1312,1301,0,30,0,1,1254.14,1233.23
2010-08-31,1301,1350,1,31,0,0,1261.86,1233.00
2010-09-04,1350,1392,5,4,1,0,1270.57,1232.43
2010-09-05,1392,1440,6,5,1,0,1283.43,1237.13
2010-09-06,1440,1390,0,6,0,1,1304.00,1242.87
2010-09-07,1390,1398,1,7,0,0,1332.00,1250.87
2010-09-08,1398,1400,2,8,0,0,1352.29,1257.20
2010-09-12,1400,1410,6,12,1,0,1369.00,1263.97
2010-09-13,1410,1444,0,13,0,1,1381.57,1270.97
2010-09-14,1444,1490,1,14,0,0,1397.14,1278.00
2010-09-15,1490,1519,2,15,0,0,1410.57,1286.13
2010-09-18,1519,1500,5,18,1,0,1424.57,1295.87
2010-09-19,1500,1428,6,19,1,0,1435.86,1306.90
2010-09-20,1428,1537,0,20,0,1,1451.57,1317.00
2010-09-21,1537,1500,1,21,0,0,1455.86,1324.57
2010-09-22,1500,1540,2,22,0,0,1475.43,1335.13
2010-09-25,1540,1501,5,25,1,0,1488.29,1344.57
2010-09-26,1501,1470,6,26,1,0,1502.00,1355.30
2010-09-27,1470,1463,0,27,0,1,1503.57,1363.83
2010-09-28,1463,1475,1,28,0,0,1496.57,1370.40
2010-09-29,1475,1519,2,29,0,0,1491.29,1377.53
2010-10-02,1519,1565,5,2,1,0,1498.00,1385.37
2010-10-03,1565,1529,6,3,1,0,1495.43,1394.53
2010-10-05,1529,1530,1,5,0,0,1504.71,1404.10
2010-10-06,1530,1540,2,6,0,0,1503.14,1413.13
2010-10-09,1540,1500,5,9,1,0,1507.29,1422.80
2010-10-10,1500,1479,6,10,1,0,1517.29,1432.13
2010-10-11,1479,1484,0,11,0,1,1522.57,1440.53
2010-10-12,1484,1427,1,12,0,0,1523.14,1448.37
2010-10-13,1427,1479,2,13,0,0,1518.14,1456.23
2010-10-16,1479,1469,5,16,1,0,1498.43,1461.10
2010-10-17,1469,1470,6,17,1,0,1491.29,1466.67
2010-10-18,1470,1440,0,18,0,1,1482.57,1472.27
2010-10-19,1440,1410,1,19,0,0,1472.57,1476.27
2010-10-20,1410,1400,2,20,0,0,1464.00,1477.87
2010-10-23,1400,1380,5,23,1,0,1454.14,1476.87
2010-10-24,1380,1356,6,24,1,0,1442.14,1477.20
2010-10-25,1356,1389,0,25,0,1,1435.43,1476.60
2010-10-26,1389,1389,1,26,0,0,1417.86,1475.13
2010-10-27,1389,1390,2,27,0,0,1406.43,1474.43
2010-10-30,1390,1370,5,30,1,0,1394.86,1472.60
2010-10-31,1370,1350,6,31,1,0,1387.71,1469.27
2010-11-01,1350,1368,0,1,0,1,1382.00,1464.30
2010-11-02,1368,1388,1,2,0,0,1374.86,1459.30
2010-11-03,1388,1388,2,3,0,0,1373.14,1457.30
2010-11-06,1388,1399,5,6,1,0,1377.71,1452.33
2010-11-07,1399,1363,6,7,1,0,1377.57,1448.60
2010-11-08,1363,1400,0,8,0,1,1379.00,1443.90
2010-11-09,1400,1395,1,9,0,0,1375.14,1439.30
2010-11-10,1395,1380,2,10,0,0,1379.43,1436.97
2010-11-13,1380,1369,5,13,1,0,1385.86,1434.70
2010-11-14,1369,1368,6,14,1,0,1387.57,1431.53
2010-11-15,1368,1380,0,15,0,1,1384.86,1426.53
2010-11-16,1380,1380,1,16,0,0,1382.00,1419.97
2010-11-20,1380,1379,5,20,1,0,1379.29,1415.00
2010-11-21,1379,1411,6,21,1,0,1381.71,1410.00
2010-11-22,1411,1400,0,22,0,1,1378.71,1404.63
2010-11-23,1400,1409,1,23,0,0,1381.00,1401.67
2010-11-24,1409,1446,2,24,0,0,1383.86,1399.03
2010-11-27,1446,1441,5,27,1,0,1389.57,1396.53
2010-11-28,1441,1440,6,28,1,0,1400.71,1397.17
2010-11-29,1440,1424,0,29,0,1,1409.43,1395.90
2010-11-30,1424,1428,1,30,0,0,1418.00,1394.93
2010-12-01,1428,1429,2,1,0,0,1424.43,1393.40
2010-12-04,1429,1430,5,4,1,0,1426.86,1393.00
2010-12-05,1430,1445,6,5,1,0,1431.00,1393.63
2010-12-06,1445,1450,0,6,0,1,1434.00,1394.63
2010-12-07,1450,1440,1,7,0,0,1433.86,1396.80
2010-12-08,1440,1440,2,8,0,0,1435.14,1399.93
2010-12-11,1440,1430,5,11,1,0,1435.14,1401.63
2010-12-12,1430,1413,6,12,1,0,1437.43,1403.33
2010-12-13,1413,1409,0,13,0,1,1437.71,1404.67
2010-12-14,1409,1410,1,14,0,0,1435.43,1406.10
2010-12-18,1410,1393,5,18,1,0,1432.43,1408.07
2010-12-19,1393,1400,6,19,1,0,1427.43,1409.47
2010-12-20,1400,1403,0,20,0,1,1419.29,1409.63
2010-12-21,1403,1399,1,21,0,0,1413.57,1410.03
2010-12-22,1399,1400,2,22,0,0,1408.29,1410.17
2010-12-25,1400,1420,5,25,1,0,1403.86,1411.37
2010-12-26,1420,1410,6,26,1,0,1402.00,1411.37
2010-12-27,1410,1400,0,27,0,1,1403.57,1412.20
2010-12-28,1400,1400,1,28,0,0,1403.57,1413.20
2010-12-29,1400,1390,2,29,0,0,1404.57,1414.23
2011-01-01,1390,1389,5,1,1,0,1404.57,1415.30
2011-01-02,1389,1395,6,2,1,0,1402.71,1415.63
2011-01-03,1395,1393,0,3,0,1,1401.29,1415.93
2011-01-04,1393,1389,1,4,0,0,1400.57,1416.47
2011-01-05,1389,1400,2,5,0,0,1396.71,1415.87
2011-01-08,1400,1402,5,8,1,0,1393.71,1415.50
2011-01-09,1402,1410,6,9,1,0,1393.71,1415.20
2011-01-10,1410,1400,0,10,0,1,1394.00,1413.73
2011-01-11,1400,1400,1,11,0,0,1396.86,1412.70
2011-01-12,1400,1400,2,12,0,0,1398.43,1411.37
2011-01-15,1400,1400,5,15,1,0,1399.14,1410.57
2011-01-16,1400,1390,6,16,1,0,1400.14,1409.63
2011-01-17,1390,1380,0,17,0,1,1401.71,1408.67
2011-01-18,1380,1441,1,18,0,0,1400.29,1407.33
2011-01-19,1441,1469,2,19,0,0,1397.14,1405.17
2011-01-22,1469,1516,5,22,1,0,1401.57,1404.87
2011-01-23,1516,1520,6,23,1,0,1411.43,1405.83
2011-01-24,1520,1557,0,24,0,1,1428.00,1408.37
2011-01-26,1557,1590,2,26,0,0,1445.14,1411.37
2011-01-29,1590,1589,5,29,1,0,1467.57,1416.17
2011-01-30,1589,1550,6,30,1,0,1496.14,1422.20
2011-01-31,1550,1590,0,31,0,1,1526.00,1428.17
2011-02-01,1590,1590,1,1,0,0,1541.57,1433.40
2011-02-05,1590,1618,5,5,1,0,1558.86,1439.73
2011-02-06,1618,1647,6,6,1,0,1569.43,1445.97
2011-02-07,1647,1640,0,7,0,1,1583.43,1453.27
2011-02-08,1640,1671,1,8,0,0,1596.29,1461.50
2011-02-09,1671,1710,2,9,0,0,1603.43,1468.83
2011-02-12,1710,1778,5,12,1,0,1615.14,1477.53
2011-02-13,1778,1800,6,13,1,0,1638.00,1487.87
2011-02-14,1800,1740,0,14,0,1,1664.86,1500.47
2011-02-15,1740,1693,1,15,0,0,1694.86,1514.13
2011-02-16,1693,1469,2,16,0,0,1712.29,1525.83
2011-03-09,1469,1410,2,9,0,0,1718.86,1535.77
2011-03-12,1410,1382,5,12,1,0,1694.43,1538.30
2011-03-13,1382,1390,6,13,1,0,1657.14,1539.00
2011-03-14,1390,1399,0,14,0,1,1610.29,1538.40
2011-03-15,1399,1423,1,15,0,0,1554.86,1538.00
2011-03-16,1423,1438,2,16,0,0,1497.57,1537.63
2011-03-19,1438,1448,5,19,1,0,1452.29,1538.40
2011-04-11,1448,1449,0,11,0,1,1415.86,1539.67
2011-04-12,1449,1469,1,12,0,0,1412.86,1541.27
2011-04-13,1469,1527,2,13,0,0,1418.43,1542.90
2011-04-16,1527,1560,5,16,1,0,1430.86,1545.53
2011-04-17,1560,1550,6,17,1,0,1450.43,1550.43
2011-04-18,1550,1520,0,18,0,1,1473.43,1554.40
2011-04-19,1520,1570,1,19,0,0,1491.57,1557.10
2011-04-20,1570,1597,2,20,0,0,1503.29,1557.23
2011-04-23,1597,1659,5,23,1,0,1520.71,1558.90
2011-04-24,1659,1682,6,24,1,0,1541.86,1560.23
2011-04-25,1682,1650,0,25,0,1,1569.00,1562.53
2011-04-26,1650,1597,1,26,0,0,1591.14,1565.63
2011-04-27,1597,1560,2,27,0,0,1604.00,1568.97
2011-04-30,1560,1560,5,30,1,0,1610.71,1569.20
2011-05-01,1560,1613,6,1,1,0,1616.43,1568.20
2011-05-02,1613,1637,0,2,0,1,1615.00,1566.27
2011-05-03,1637,1649,1,3,0,0,1617.29,1565.13
2011-05-04,1649,1603,2,4,0,0,1614.14,1565.03
2011-05-08,1603,1623,6,8,1,0,1609.43,1564.30
2011-05-09,1623,1661,0,9,0,1,1602.71,1560.73
2011-05-10,1661,1700,1,10,0,0,1606.43,1555.57
2011-05-11,1700,1716,2,11,0,0,1620.86,1550.93
2011-05-14,1716,1716,5,14,1,0,1640.86,1549.60
2011-05-15,1716,1698,6,15,1,0,1655.57,1550.37
2011-05-16,1698,1719,0,16,0,1,1666.86,1558.60
2011-05-17,1719,1745,1,17,0,0,1673.86,1568.20
2011-05-18,1745,1773,2,18,0,0,1690.43,1579.43
2011-05-21,1773,1784,5,21,1,0,1707.86,1591.27
2011-05-22,1784,1740,6,22,1,0,1723.86,1603.73
2011-05-23,1740,1715,0,23,0,1,1735.86,1615.77
2011-05-24,1715,1684,1,24,0,0,1739.29,1625.83
2011-05-25,1684,1649,2,25,0,0,1739.14,1634.73
2011-05-28,1649,1610,5,28,1,0,1737.14,1642.57
2011-05-29,1610,1720,6,29,1,0,1727.14,1648.57
2011-05-30,1720,1700,0,30,0,1,1707.86,1651.33
2011-05-31,1700,1659,1,31,0,0,1700.29,1656.67
2011-06-01,1659,1629,2,1,0,0,1688.29,1661.67
2011-06-06,1629,1607,0,6,0,1,1676.71,1666.30
2011-06-07,1607,1610,1,7,0,0,1664.43,1668.27
2011-06-08,1610,1615,2,8,0,0,1653.43,1668.60
2011-06-11,1615,1580,5,11,1,0,1647.86,1666.97
2011-06-12,1580,1560,6,12,1,0,1648.57,1664.73
2011-06-13,1560,1586,0,13,0,1,1628.57,1662.40
2011-06-14,1586,1559,1,14,0,0,1608.57,1661.17
2011-06-15,1559,1633,2,15,0,0,1598.14,1662.03
2011-06-18,1633,1660,5,18,1,0,1588.14,1662.00
2011-06-19,1660,1708,6,19,1,0,1591.86,1662.67
2011-07-09,1708,1690,5,9,1,0,1599.00,1663.43
2011-07-10,1690,1670,6,10,1,0,1612.29,1665.40
2011-07-11,1670,1668,0,11,0,1,1628.00,1668.30
2011-07-12,1668,1634,1,12,0,0,1643.71,1669.87
2011-07-19,1634,1563,1,19,0,0,1655.43,1670.10
2011-07-20,1563,1580,2,20,0,0,1666.14,1667.90
2011-07-23,1580,1616,5,23,1,0,1656.14,1662.80
2011-07-24,1616,1633,6,24,1,0,1644.71,1658.27
2011-07-25,1633,1630,0,25,0,1,1631.57,1655.53
2011-07-26,1630,1627,1,26,0,0,1623.43,1652.67
2011-07-27,1627,1610,2,27,0,0,1617.71,1648.83
2011-07-30,1610,1615,5,30,1,0,1611.86,1643.97
2011-07-31,1615,1613,6,31,1,0,1608.43,1638.17
2011-08-01,1613,1630,0,1,0,1,1615.86,1634.00
2011-08-02,1630,1659,1,2,0,0,1620.57,1630.60
2011-08-03,1659,1630,2,3,0,0,1622.57,1628.80
2011-08-06,1630,1652,5,6,1,0,1626.29,1629.13
2011-08-07,1652,1669,6,7,1,0,1626.29,1629.80
2011-08-08,1669,1669,0,8,0,1,1629.86,1627.53
2011-08-09,1669,1660,1,9,0,0,1638.29,1626.50
2011-08-10,1660,1716,2,10,0,0,1646.00,1626.83
2011-08-13,1716,1770,5,13,1,0,1652.71,1627.87
2011-08-14,1770,1700,6,14,1,0,1665.00,1631.50
2011-08-15,1700,1716,0,15,0,1,1680.86,1636.83
2011-08-16,1716,1711,1,16,0,0,1690.86,1639.67
2011-08-17,1711,1680,2,17,0,0,1700.00,1644.20
2011-08-20,1680,1675,5,20,1,0,1706.00,1649.23
2011-08-21,1675,1680,6,21,1,0,1707.57,1652.37
2011-08-23,1680,1682,1,23,0,0,1709.71,1656.23
2011-08-24,1682,1680,2,24,0,0,1704.57,1657.80
2011-08-27,1680,1669,5,27,1,0,1692.00,1658.53
2011-08-28,1669,1654,6,28,1,0,1689.14,1657.60
2011-08-29,1654,1691,0,29,0,1,1682.43,1656.90
2011-08-30,1691,1710,1,30,0,0,1674.29,1656.37
2011-09-03,1710,1714,5,3,1,0,1675.86,1657.13
2011-09-04,1714,1740,6,4,1,0,1680.86,1659.67
2011-09-05,1740,1780,0,5,0,1,1685.71,1664.70
2011-09-06,1780,1788,1,6,0,0,1694.00,1670.03
2011-09-07,1788,1721,2,7,0,0,1708.29,1675.50
2011-09-10,1721,1736,5,10,1,0,1725.29,1680.67
2011-09-11,1736,1670,6,11,1,0,1734.86,1683.70
2011-09-12,1670,1640,0,12,0,1,1741.29,1687.33
2011-09-13,1640,1610,1,13,0,0,1735.57,1689.33
2011-09-14,1610,1582,2,14,0,0,1725.00,1690.17
2011-09-17,1582,1540,5,17,1,0,1706.43,1690.07
2011-09-18,1540,1502,6,18,1,0,1678.14,1688.47
2011-09-19,1502,1510,0,19,0,1,1642.71,1684.50
2011-09-20,1510,1540,1,20,0,0,1611.43,1680.23
2011-09-21,1540,1540,2,21,0,0,1579.14,1675.50
2011-09-25,1540,1518,6,25,1,0,1560.57,1671.20
2011-09-26,1518,1510,0,26,0,1,1546.29,1666.90
2011-09-27,1510,1500,1,27,0,0,1533.14,1662.17
2011-09-28,1500,1494,2,28,0,0,1522.86,1655.30
2011-10-01,1494,1475,5,1,1,0,1517.14,1646.30
2011-10-02,1475,1470,6,2,1,0,1516.00,1639.43
2011-10-03,1470,1460,0,3,0,1,1511.00,1631.40
2011-10-04,1460,1462,1,4,0,0,1501.00,1623.37
2011-10-05,1462,1514,2,5,0,0,1489.57,1616.03
2011-10-08,1514,1538,5,8,1,0,1481.57,1608.93
2011-10-09,1538,1529,6,9,1,0,1482.14,1603.40
2011-10-10,1529,1523,0,10,0,1,1487.57,1598.60
2011-10-11,1523,1500,1,11,0,0,1492.57,1593.57
2011-10-12,1500,1510,2,12,0,0,1499.43,1588.70
2011-10-15,1510,1470,5,15,1,0,1503.71,1583.57
2011-10-16,1470,1473,6,16,1,0,1510.86,1577.53
2011-10-17,1473,1480,0,17,0,1,1512.00,1569.53
2011-10-18,1480,1478,1,18,0,0,1506.14,1561.50
2011-10-19,1478,1469,2,19,0,0,1497.86,1552.83
2011-10-22,1469,1480,5,22,1,0,1490.57,1542.77
2011-10-23,1480,1419,6,23,1,0,1482.86,1532.13
2011-10-24,1419,1460,0,24,0,1,1480.00,1524.10
2011-10-25,1460,1460,1,25,0,0,1467.00,1513.53
2011-10-26,1460,1425,2,26,0,0,1465.57,1506.53
2011-10-29,1425,1444,5,29,1,0,1463.71,1500.53
2011-10-30,1444,1438,6,30,1,0,1455.86,1494.37
2011-10-31,1438,1418,0,31,0,1,1451.00,1489.77
