<Date>,<Close>,<Target>,<DayOfWeek>,<DayOfMonth>,<IsWeekend>,<IsStartOfWeek>,<PWA>,<PMA>
2011-11-01,1418,1425,1,1,0,0,1446.57,1486.37
2011-11-02,1425,1416,2,2,0,0,1437.71,1483.57
2011-11-05,1416,1360,5,5,1,0,1438.57,1480.73
2011-11-06,1360,1330,6,6,1,0,1432.29,1476.60
2011-11-08,1330,1380,1,8,0,0,1418.00,1470.60
2011-11-09,1380,1340,2,9,0,0,1404.43,1464.33
2011-11-12,1340,1288,5,12,1,0,1395.29,1460.00
2011-11-13,1288,1286,6,13,1,0,1381.29,1454.67
2011-11-14,1286,1259,0,14,0,1,1362.71,1447.80
2011-11-16,1259,1280,2,16,0,0,1342.86,1441.50
2011-11-19,1280,1276,5,19,1,0,1320.43,1434.47
2011-11-20,1276,1260,6,20,1,0,1309.00,1428.47
2011-11-21,1260,1257,0,21,0,1,1301.29,1422.27
2011-11-22,1257,1190,1,22,0,0,1284.14,1413.80
2011-11-23,1190,1199,2,23,0,0,1272.29,1404.43
2011-11-26,1199,1243,5,26,1,0,1258.29,1393.13
2011-11-27,1243,1221,6,27,1,0,1245.86,1382.33
2011-11-28,1221,1220,0,28,0,1,1243.57,1373.77
2011-11-29,1220,1220,1,29,0,0,1235.14,1364.13
2011-11-30,1220,1215,2,30,0,0,1227.14,1355.80
2011-12-03,1215,1234,5,3,1,0,1221.43,1347.37
2011-12-04,1234,1220,6,4,1,0,1215.43,1338.53
2011-12-07,1220,1229,2,7,0,0,1221.71,1330.40
2011-12-10,1229,1210,5,10,1,0,1224.71,1322.10
2011-12-11,1210,1210,6,11,1,0,1222.71,1313.73
2011-12-12,1210,1209,0,12,0,1,1221.14,1306.77
2011-12-13,1209,1208,1,13,0,0,1219.71,1298.43
2011-12-14,1208,1207,2,14,0,0,1218.14,1290.07
2011-12-17,1207,1201,5,17,1,0,1217.14,1282.83
2011-12-18,1201,1202,6,18,1,0,1213.29,1274.93
2011-12-19,1202,1197,0,19,0,1,1210.57,1267.03
2011-12-20,1197,1199,1,20,0,0,1206.71,1259.83
2011-12-21,1199,1204,2,21,0,0,1204.86,1252.23
2011-12-24,1204,1203,5,24,1,0,1203.29,1245.00
2011-12-25,1203,1200,6,25,1,0,1202.57,1239.80
2011-12-26,1200,1201,0,26,0,1,1201.86,1235.57
2011-12-27,1201,1200,1,27,0,0,1200.86,1229.57
2012-01-29,1200,1197,6,29,1,0,1200.86,1224.93
2012-01-30,1197,1151,0,30,0,1,1200.57,1222.00
2012-01-31,1151,1169,1,31,0,0,1200.57,1219.03
2012-02-01,1169,1160,2,1,0,0,1193.71,1215.43
2012-02-04,1160,1190,5,4,1,0,1188.71,1211.73
2012-02-05,1190,1160,6,5,1,0,1182.57,1207.87
2012-02-06,1160,1150,0,6,0,1,1181.14,1205.53
2012-02-07,1150,1122,1,7,0,0,1175.29,1202.30
2012-02-08,1122,1130,2,8,0,0,1168.14,1200.97
2012-02-12,1130,1101,6,12,1,0,1157.43,1198.40
2012-02-13,1101,1100,0,13,0,1,1154.43,1194.63
2012-02-14,1100,1080,1,14,0,0,1144.71,1190.63
2012-02-15,1080,1079,2,15,0,0,1136.14,1186.63
2012-02-18,1079,1079,5,18,1,0,1120.43,1181.97
2012-02-19,1079,1100,6,19,1,0,1108.86,1177.43
2012-02-20,1100,1149,0,20,0,1,1098.71,1172.27
2012-02-21,1149,1147,1,21,0,0,1095.57,1168.27
2012-02-22,1147,1147,2,22,0,0,1098.29,1165.60
2012-02-27,1147,1140,0,27,0,1,1104.86,1163.50
2012-02-28,1140,1133,1,28,0,0,1111.57,1161.40
2012-02-29,1133,1130,2,29,0,0,1120.14,1159.10
2012-03-03,1130,1087,5,3,1,0,1127.86,1156.60
2012-03-04,1087,1080,6,4,1,0,1135.14,1154.03
2012-03-05,1080,1079,0,5,0,1,1133.29,1150.23
2012-03-06,1079,1099,1,6,0,0,1123.43,1146.17
2012-03-07,1099,1098,2,7,0,0,1113.71,1142.23
2012-03-10,1098,1090,5,10,1,0,1106.86,1138.90
2012-03-11,1090,1080,6,11,1,0,1100.86,1135.37
2012-03-12,1080,1070,0,12,0,1,1094.71,1131.60
2012-03-13,1070,1090,1,13,0,0,1087.57,1127.60
2012-03-14,1090,1116,2,14,0,0,1085.14,1123.23
2012-03-17,1116,1122,5,17,1,0,1086.57,1119.57
2012-03-18,1122,1130,6,18,1,0,1091.86,1116.87
2012-03-24,1130,1131,5,24,1,0,1095.14,1115.90
2012-03-25,1131,1132,6,25,1,0,1099.71,1114.60
2012-03-26,1132,1129,0,26,0,1,1105.57,1113.63
2012-03-27,1129,1129,1,27,0,0,1113.00,1111.70
2012-03-28,1129,1110,2,28,0,0,1121.43,1110.67
2012-04-02,1110,1117,0,2,0,1,1127.00,1109.97
2012-04-03,1117,1097,1,3,0,0,1126.14,1109.57
2012-04-04,1097,1085,2,4,0,0,1125.43,1109.13
2012-04-07,1085,1089,5,7,1,0,1120.71,1109.00
2012-04-08,1089,1083,6,8,1,0,1114.14,1108.50
2012-04-09,1083,1060,0,9,0,1,1108.00,1108.80
2012-04-10,1060,1122,1,10,0,0,1101.43,1108.93
